,,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
level_0,level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnet,Closed comedo,5.0,0.13127008109779742,0.007432306908717398,0.1240351942219588,0.126372568553885,0.12733309455770614,0.13921793762954626,0.13939161052589097,5.0,0.197297850872363,0.00931374739544082,0.18771718390748224,0.1917768418463212,0.19237984045509926,0.2070506983358745,0.20756468981703788,5.0,0.17590061058054327,0.008279229924728503,0.1671905760021262,0.16884050614821194,0.17474789561538595,0.18295623343960363,0.18576784169738864,5.0,0.5366001596866655,0.017262592039713674,0.5141708285591825,0.5288377903817031,0.5319527013272203,0.553722500290253,0.554316977874969,5.0,0.9553513206906896,0.002195725417016384,0.9515697575011681,0.955803142739939,0.956019866924271,0.9560524168036622,0.9573114194844075,5.0,0.7501503954754714,0.01307667666172079,0.7338617011677274,0.745074234215779,0.748323391835713,0.7539797362000182,0.7695129139581192
efficientnet,Cyst,5.0,0.020760757820873575,0.0028734769772703786,0.0175132702211435,0.01835363476072746,0.021099970095362283,0.02231272927726192,0.024524184749872713,5.0,0.03927658222754212,0.005313128419001716,0.03335980809908172,0.03486065740428967,0.039778919211595,0.04197383900141543,0.04640968742132879,5.0,0.022098184118684142,0.003391021240850885,0.0182912992792458,0.019202487396831548,0.022700395579301737,0.023708099712977878,0.026588638625063738,5.0,0.4200363337424779,0.036608044716811436,0.3661950395151091,0.4073807904751193,0.4187165641869892,0.45358399554726214,0.4543052789879098,5.0,0.9921505813045115,0.0003085591890038019,0.9918820664339077,0.9919520638927433,0.9920710917539942,0.992185447539377,0.9926622369025353,5.0,0.7382708496767179,0.013653217010915368,0.7205805358294993,0.7337225129649733,0.7357521137815085,0.743606864237215,0.7576922215703933
efficientnet,Dermatoglyph disruption,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
efficientnet,Leukotrichia,5.0,0.08460447297281175,0.012083114623209178,0.06997951743759442,0.07424826544544871,0.0890916808206423,0.09080607403455876,0.09889682712581459,5.0,0.15295777978369196,0.02199105782987284,0.12545554749303314,0.1352942321647489,0.1611695024111415,0.16382497139843333,0.179044645451103,5.0,0.1857231987520592,0.0611807890112696,0.10358205942629747,0.1669136977660134,0.1791238635091332,0.2075267787364676,0.2714695943223843,5.0,0.3072557617649546,0.055441270637022366,0.2602456491853716,0.2863972206945151,0.2897005494003088,0.2966146038803632,0.4033207856642143,5.0,0.8364090887682858,0.058597401561446626,0.8063037321688936,0.8070774992663691,0.8115656416078562,0.816102676086325,0.9409958947119852,5.0,0.793773931741016,0.04318215321286027,0.7376363801531075,0.7611680202094764,0.8054860881333883,0.8239188759378151,0.840660294271293
efficientnet,Macule,5.0,0.12391686276545626,0.009282196003849021,0.11093021931233872,0.12173831127445339,0.12333076082161747,0.1269529624947703,0.13663205992410146,5.0,0.19534713068506782,0.013158792225114175,0.17813423881433896,0.19166249508038077,0.19331221000989257,0.19920856765097839,0.21441814186974845,5.0,0.22020939105885265,0.019195875749178755,0.19603650456795246,0.2135791951992511,0.21674240239512166,0.226244882642494,0.24844397048944394,5.0,0.4110130734537985,0.021663675923619296,0.3807387291159353,0.40410728910470917,0.4060630017332961,0.43135238708197543,0.4328039602330765,5.0,0.8723012281908378,0.01448808395094602,0.8591439448046827,0.8654119936726916,0.8692000034811546,0.8708076579125873,0.8969425410830724,5.0,0.7594728826387716,0.013786767428257504,0.745832139921317,0.7536821530743554,0.756649398883406,0.7586612690025573,0.7825394523122222
efficientnet,Nodule,5.0,0.0366979215777605,0.0035540241896499353,0.032144879713024536,0.034967071575996676,0.037223358073786024,0.037347538066668115,0.041806760459327144,5.0,0.06295088501361837,0.006333378993675774,0.05517782231381904,0.06005123472359751,0.06289553820321223,0.06418759220023626,0.07244223762722672,5.0,0.04493246654903223,0.0043257892175387995,0.038889238841779784,0.04346575776317003,0.04570494641222528,0.0457630274566896,0.05083936227129645,5.0,0.44101776988627667,0.01540214583060685,0.4233546187804348,0.4322525324738151,0.4378799675357322,0.44827881553268256,0.4633229151087187,5.0,0.9801067428540113,0.0006985488968104949,0.9793868837073539,0.9794276392930875,0.9801117006252419,0.9807830819890296,0.9808244086553437,5.0,0.7344244418250845,0.015480282528235736,0.7158932472997338,0.7292303231919721,0.7298105446372426,0.7395020427934771,0.7576860512029967
efficientnet,Open comedo,5.0,0.12353206281678683,0.003325447456753819,0.11856072670260172,0.12171488506882597,0.1251333253319275,0.1258092587889829,0.12644211819159604,5.0,0.18912503589992738,0.003102716474747736,0.18446863913856168,0.18739159727207602,0.19088737480240775,0.1913761042409176,0.19150146404567378,5.0,0.17278170834100814,0.005131056581715252,0.16466217736225158,0.17305898830078742,0.17319987816826946,0.17408813650829996,0.17889936136543227,5.0,0.49622043785621184,0.010901621590515479,0.4786734047624778,0.4940982693429773,0.49981556392775844,0.5010274168016664,0.5074875344461792,5.0,0.9444571298690354,0.0025642987337404,0.9421201562287648,0.9421674969654179,0.9436243065679564,0.9471524530198032,0.9472212365632348,5.0,0.7594377433515422,0.013772721141911543,0.7414246431770857,0.7572213635176204,0.7576395784067003,0.7608722833684173,0.7800308482878876
efficientnet,Papule,5.0,0.10065327483130374,0.006560950448967644,0.09282880443082239,0.09509878382215307,0.10146729057530302,0.10643175146628665,0.10743974386195351,5.0,0.1563513823885967,0.009684100990296197,0.14562143280756892,0.1471444611698107,0.1578534996228562,0.1643335252008491,0.16680399314189853,5.0,0.12680205709474107,0.011099585312559454,0.11411532816694524,0.11603268031807581,0.13045727151720946,0.13490356288917144,0.1385014425823034,5.0,0.5907223111703348,0.022580319209961227,0.5595376929809558,0.5804838886034576,0.5894775501695968,0.6070383703373162,0.6170740537603475,5.0,0.9660582855131177,0.004428427560279073,0.962394560757834,0.9629234698248743,0.963633705333053,0.9688283290483674,0.9725113626014594,5.0,0.7346075093297681,0.0069840699458317826,0.7259801130769257,0.7309292151655152,0.7336003355508706,0.7383045037785332,0.7442233790769958
