,,iou,iou,iou,iou,iou,iou,iou,iou,dice,dice,dice,dice,dice,dice,dice,dice,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,specificity,specificity,specificity,specificity,specificity,specificity,specificity,specificity
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
level_0,level_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnet,derm1,5.0,0.1610836530153746,0.008752445192000927,0.14877917628244147,0.1562478372259716,0.16414553930716141,0.1647199150001293,0.17152579726116934,5.0,0.261596528668939,0.012252184633361526,0.2437179452966761,0.25594283483008384,0.26558306153210465,0.2667897933045665,0.2759490083812639,5.0,0.25006008084444636,0.01728196922740643,0.223633877484925,0.24247142197051033,0.2564678869061927,0.2609827132149568,0.266744504645647,5.0,0.4190681441849522,0.009392411689968079,0.40889236821005104,0.4132731614432771,0.41555709193638757,0.42619721309005354,0.4314208862449919,5.0,0.8999139873328599,0.001618331705665693,0.8972458224445161,0.8997336716872198,0.9003430227411588,0.9007970267961042,0.9014503929952997,5.0,0.8115294319698734,0.013900956935248216,0.7871665253159312,0.8146981689047693,0.8165182136671886,0.8170670668020524,0.8221971851594255
efficientnet,derm2,5.0,0.1675012953789466,0.006423407031701283,0.1577651177283361,0.1662494480759382,0.16693084273284836,0.17239856585955576,0.17416250249805457,5.0,0.26708464929387044,0.009190197337937767,0.25312595819433725,0.26560685539691536,0.2661639427292055,0.2735049194554926,0.2770215706934014,5.0,0.25785323357099366,0.013633697329243723,0.2384383083325317,0.25434450346677107,0.25626841357268537,0.2650371671921605,0.27517777529081977,5.0,0.47432679516153947,0.010358009733352474,0.4650562360470717,0.47056965103394455,0.471027886763044,0.4728741729506283,0.492106029013009,5.0,0.8857322941446297,0.008994617190590472,0.8787885302866826,0.8804217433157516,0.8828976197490737,0.8853609636401569,0.9011926137314836,5.0,0.781564457956132,0.0034239882512895623,0.7764029818872799,0.780364343832821,0.7823859964998755,0.7831528194140484,0.7855161481466355
efficientnet,derm3,5.0,0.20490138289191978,0.007564751840119139,0.19701154750681613,0.20037458283641446,0.20208370644805715,0.20918844644618695,0.21584863122212417,5.0,0.32089432662328904,0.009709488098163167,0.310906700594578,0.31562200981759236,0.3168769065687125,0.3256545547036115,0.33541146143195105,5.0,0.3343935006953626,0.014121274758694721,0.3167481614300175,0.32509694852217585,0.33807456145470816,0.3384155524498147,0.3536322796200968,5.0,0.4459963545009121,0.010839530529216278,0.4295834531846232,0.44074048511512637,0.44991880166996473,0.4546219233624167,0.4551171091724293,5.0,0.8464209755906648,0.0035485076944521197,0.8407894452849961,0.8460189733154644,0.8464047777163698,0.8491359970219469,0.8497556846145468,5.0,0.8045297652069923,0.007790085526418112,0.7912347426308709,0.8060196414793086,0.806635324837057,0.8069006473662699,0.8118584697214551
efficientnet,derm4,5.0,0.1798296055262413,0.007397668696038206,0.16938589091865644,0.1782485306426102,0.1794013944445298,0.1822084403134783,0.18990377131193167,5.0,0.2831399105245991,0.009635505736974656,0.27004251531704465,0.28066674302386085,0.28184719866028385,0.2865786806035872,0.29656441501821906,5.0,0.28467772842030203,0.006587423137397252,0.2754518193916443,0.2809137095096439,0.2866417494813455,0.28799424740478086,0.2923871163140959,5.0,0.44315760118420944,0.019241455394079263,0.41431811970995297,0.4340853394045696,0.44904401186394055,0.456051613651638,0.46228892129094584,5.0,0.8566409881855737,0.007456053067540728,0.8463061087095254,0.8512367033691468,0.8603006020238111,0.862634189873165,0.8627273369522204,5.0,0.7874460288925101,0.0078101113598294065,0.7779313000955208,0.7829548669520037,0.7867472826841015,0.7912848492484549,0.7983118454824703
efficientnet,derm5,5.0,0.17390471320253945,0.007749745954589633,0.160804742557717,0.17356800924220672,0.1769553415434108,0.17747441609293116,0.18072105657643148,5.0,0.27751667104871186,0.011470873118733177,0.258461935885209,0.2764499692417423,0.2817972292434704,0.28241113647138555,0.28846308440175195,5.0,0.2620187503485966,0.0063109702096232935,0.2525516023859605,0.260065214174501,0.26240052978077266,0.2659896999168765,0.2690867054848727,5.0,0.44642156831306823,0.012571345534451904,0.428637957466727,0.4432178397323013,0.44652283167906814,0.45024985458151795,0.4634793581057264,5.0,0.8899085880150082,0.0077858931137222386,0.8771163936705619,0.8882553771526199,0.8926339715136239,0.8957659177741607,0.8957712799640746,5.0,0.8010363044178277,0.014893884687227459,0.7754522636974818,0.8027159046378911,0.8053502674255071,0.8077135849539836,0.8139495013742752
efficientnet,derm6,5.0,0.17476226314504933,0.00026225582225275533,0.17446008944137015,0.17457012991733084,0.1747525370211187,0.17491485864145098,0.17511370070397606,5.0,0.28174756072377505,0.00044464350659654796,0.2811676502337177,0.2815024456948293,0.2817162165538487,0.2820600155831595,0.28229147555332,5.0,0.2912407360407043,0.011523489349542207,0.2749673827523706,0.28352060521761824,0.2966268924183383,0.2990255554845267,0.30206324433066756,5.0,0.42247689522098675,0.012874718112346813,0.40898007590559554,0.41230482086805814,0.41958868037041536,0.432890449816331,0.4386204491445335,5.0,0.8522981284693865,0.010085915924555964,0.8422460753740083,0.8431695224263018,0.8512962189544108,0.8594014604014785,0.8653773651907333,5.0,0.7992149070658559,0.005539726748681712,0.791254450156978,0.7968263737605317,0.8002919831996215,0.801667284946063,0.8060344432660852
efficientnet,derm7,5.0,0.15916085963125387,0.0075879395249556685,0.14666235685329293,0.15762858816127714,0.1618971873754165,0.1643196532810778,0.16529651248520494,5.0,0.25578132085813393,0.01111318354370804,0.23793860034913156,0.253180764826596,0.2581904150350989,0.2643155944997482,0.26528122958009503,5.0,0.24566308839841922,0.013361801625908458,0.22645769982188504,0.23694426283304595,0.2533205417348909,0.2541718591906721,0.25742107841160206,5.0,0.46128021380219686,0.015452598100968775,0.4377626414586951,0.45312154071343025,0.4712909742942145,0.47157487992904085,0.47265103261560343,5.0,0.8896539107139741,0.007037388294592433,0.8837934613570416,0.8847433561051927,0.8856692176476951,0.8943024876676253,0.8997610307923151,5.0,0.785883020046933,0.009038020851880796,0.7738303238243097,0.7833252239092885,0.7838968851000022,0.7901030543240615,0.7982596130770032
efficientnet,derm8,5.0,0.20756259742999048,0.004928807683724665,0.2011073737430119,0.20603058725277415,0.20691101467834352,0.2091056343328906,0.21465837714293212,5.0,0.3201882148597331,0.007212675569937971,0.31169813480135267,0.3164070030429306,0.31957607939331284,0.32225124873834515,0.3310086083227239,5.0,0.33224822445651225,0.007903472404977702,0.3240413257227972,0.3250242802873035,0.3321661745082367,0.3377698002438789,0.3422395415203448,5.0,0.44568092534378206,0.014378069722343272,0.43131384114452526,0.4343237961030061,0.4446858655129614,0.4508684099782405,0.46721271398017683,5.0,0.8448816327249216,0.0033175260503265393,0.8411923581952149,0.8414196166806998,0.8466307007979209,0.846959698377685,0.8482057895730875,5.0,0.8015812725859341,0.005629278809803305,0.7963792445700006,0.7964517942189869,0.8012611970846445,0.804030265895725,0.8097838611603135
